"ERuid","ERdguid","ERname","ERpop_2021","ERtdwell_2021","ERurdwell_2021","ERpop_2016","ERpop_2016a","ERtdwell_2016a","ERurdwell_2016a","ERarea","ERadj_2016","ERir_2016","ERir_2021","PRuid","ERcode"
"1010","2021S05001010","Avalon Peninsula",271878,135137,117178,270348,270348,131336,112620,"9104.5799","0","0","0","10","10"
"1020","2021S05001020","South Coast--Burin Peninsula",33312,19597,15233,35932,35932,19786,15510,"25187.6764","0","0","0","10","20"
"1030","2021S05001030","West Coast--Northern Peninsula--Labrador",101037,52927,44101,105205,105205,53311,43951,"289001.4288","0","0","0","10","30"
"1040","2021S05001040","Notre Dame--Central Bonavista Bay",104323,61523,46741,108231,108231,61306,46592,"34876.6882","0","0","0","10","40"
"1110","2021S05001110","Prince Edward Island",154331,74934,64570,142907,142907,71119,59472,"5681.179","0","0","0","11","10"
"1210","2021S05001210","Cape Breton",132019,67740,58872,132010,132010,66640,57516,"10357.0859","0","0","0","12","10"
"1220","2021S05001220","North Shore",153173,81453,69200,151264,151264,81380,66826,"16240.9506","0","0","0","12","20"
"1230","2021S05001230","Annapolis Valley",129306,62284,56255,123749,123749,59780,52767,"8352.7212","0","0","0","12","30"
"1240","2021S05001240","Southern",114813,63911,53251,113185,113185,63290,51422,"12396.4158","0","0","0","12","40"
"1250","2021S05001250","Halifax",440072,200619,190650,403390,403390,187478,173459,"5477.5348","0","0","0","12","50"
"1310","2021S05001310","Campbellton--Miramichi",153961,76373,69940,154351,154351,75840,68056,"26144.5029","0","0","0","13","10"
"1320","2021S05001320","Moncton--Richibucto",226494,105256,97077,209256,209256,101201,89493,"10016.3499","0","0","0","13","20"
"1330","2021S05001330","Saint John--St. Stephen",173757,80696,74658,168389,168389,79908,71011,"8361.6396","0","0","0","13","30"
"1340","2021S05001340","Fredericton--Oromocto",144123,67051,61702,137527,137569,66012,57799,"14469.1247","1","0","0","13","40"
"1350","2021S05001350","Edmundston--Woodstock",77275,36770,34274,77578,77536,36760,33414,"12256.881","1","0","0","13","50"
"2410","2021S05002410","Gaspķsie--╬les-de-la-Madeleine",89342,46701,42073,90311,90311,46460,40931,"20271.237","0","0","1","24","10"
"2415","2021S05002415","Bas-Saint-Laurent",199039,104692,93307,197385,197385,103220,89833,"22188.1883","0","0","0","24","15"
"2420","2021S05002420","Capitale-Nationale",757950,383057,354681,729997,729997,361151,334265,"18684.7832","0","0","0","24","20"
"2425","2021S05002425","ChaudiĶre-Appalaches",433312,206126,191406,420082,420082,196842,180845,"15071.5065","0","0","0","24","25"
"2430","2021S05002430","Estrie",337701,172944,154724,319004,319004,164784,142875,"10197.8841","0","0","0","24","30"
"2433","2021S05002433","Centre-du-Quķbec",250445,119199,112218,242399,242399,113371,106177,"6921.3215","0","0","0","24","33"
"2435","2021S05002435","Montķrķgie",1591620,699508,671998,1507070,1507070,657344,626077,"11111.8203","0","1","1","24","35"
"2440","2021S05002440","Montrķal",2004265,976966,910359,1942044,1942044,939112,870373,"498.292","0","0","0","24","40"
"2445","2021S05002445","Laval",438366,176115,169785,422993,422993,165686,160328,"246.1349","0","0","0","24","45"
"2450","2021S05002450","LanaudiĶre",528598,236975,219172,494796,494796,222662,202142,"12300.6162","0","0","0","24","50"
"2455","2021S05002455","Laurentides",636083,311306,275546,589400,589400,290274,249083,"20557.418","0","1","1","24","55"
"2460","2021S05002460","Outaouais",405158,199509,175731,382604,382604,190236,163137,"30457.5183","0","1","1","24","60"
"2465","2021S05002465","Abitibi-Tķmiscamingue",147082,72505,66421,146717,146717,71211,64575,"57325.7449","0","0","0","24","65"
"2470","2021S05002470","Mauricie",273055,143642,130869,266112,266112,139571,124609,"35475.7954","0","0","0","24","70"
"2475","2021S05002475","Saguenay--Lac-Saint-Jean",275552,138331,126404,276368,276368,135684,122794,"95542.6953","0","0","0","24","75"
"2480","2021S05002480","C¶te-Nord",88525,45263,39798,92518,92518,45156,39946,"234442.2732","0","0","1","24","80"
"2490","2021S05002490","Nord-du-Quķbec",45740,17325,14543,44561,44561,16179,13673,"707306.5187","0","0","0","24","90"
"3510","2021S05003510","Ottawa",1407555,602529,570809,1306249,1306249,564144,528303,"14443.6324","0","0","1","35","10"
"3515","2021S05003515","Kingston--Pembroke",484777,233529,205300,456937,456937,224734,191872,"20942.4389","0","0","0","35","15"
"3520","2021S05003520","Muskoka--Kawarthas",403538,221262,170062,377918,377933,215360,158415,"16569.4659","1","1","1","35","20"
"3530","2021S05003530","Toronto",6525393,2517061,2381141,6234202,6234202,2352469,2249704,"6937.51","0","0","0","35","30"
"3540","2021S05003540","Kitchener--Waterloo--Barrie",1427617,580015,540382,1299265,1299250,534569,494560,"10341.1296","1","0","0","35","40"
"3550","2021S05003550","Hamilton--Niagara Peninsula",1495885,625484,594468,1412714,1412714,594569,563078,"7135.1529","0","1","1","35","50"
"3560","2021S05003560","London",717096,305070,289311,655366,655350,285307,269301,"7234.5085","1","1","1","35","60"
"3570","2021S05003570","Windsor--Sarnia",655330,281689,265170,627633,627633,274633,256708,"7308.6605","0","0","1","35","70"
"3580","2021S05003580","Stratford--Bruce Peninsula",317232,156292,131527,298070,298086,148864,123341,"14190.6714","1","0","0","35","80"
"3590","2021S05003590","Northeast",557220,290216,245297,548449,548449,288783,238530,"273580.0903","0","1","1","35","90"
"3595","2021S05003595","Northwest",232299,116103,97734,231691,231691,114959,95362,"513728.5022","0","1","1","35","95"
"4610","2021S05004610","Southeast",128855,57557,46735,117788,117788,53140,42421,"21074.1649","0","0","0","46","10"
"4620","2021S05004620","South Central",67028,24903,23513,64782,64782,23625,22421,"9774.8709","0","0","1","46","20"
"4630","2021S05004630","Southwest",117432,53466,47201,113618,113618,51677,45740,"27384.242","0","0","0","46","30"
"4640","2021S05004640","North Central",51129,19125,17761,50300,50300,18601,17485,"10767.2385","0","0","0","46","40"
"4650","2021S05004650","Winnipeg",753938,316807,301738,708823,708823,295343,282116,"569.3081","0","0","0","46","50"
"4660","2021S05004660","Interlake",98028,46140,37934,91743,91862,43342,35116,"15858.1285","1","0","0","46","60"
"4670","2021S05004670","Parklands",41575,21502,17858,41674,41674,21551,17757,"28163.1532","0","0","0","46","70"
"4680","2021S05004680","North",84168,32028,25314,89637,89518,32469,25994,"426719.0826","1","0","1","46","80"
"4710","2021S05004710","Regina--Moose Mountain",329412,149158,133395,317428,317428,143010,127965,"48553.2636","0","0","0","47","10"
"4720","2021S05004720","Swift Current--Moose Jaw",101387,49695,42223,101377,101377,48864,42058,"80532.8467","0","0","0","47","20"
"4730","2021S05004730","Saskatoon--Biggar",371364,160178,146891,350633,350633,150218,137461,"47572.9285","0","0","0","47","30"
"4740","2021S05004740","Yorkton--Melville",84113,42165,35793,83947,83947,42206,35837,"41215.2488","0","0","0","47","40"
"4750","2021S05004750","Prince Albert",210243,99686,80804,207903,207903,98620,79067,"96905.1766","0","0","0","47","50"
"4760","2021S05004760","Northern",35986,12843,10475,37064,37064,12664,10234,"262280.9401","0","0","1","47","60"
"4810","2021S05004810","Lethbridge--Medicine Hat",301794,123262,114493,291312,291312,117727,109431,"51458.9291","0","0","0","48","10"
"4820","2021S05004820","Camrose--Drumheller",201143,88571,78347,204304,204304,87260,78010,"76750.2173","0","0","0","48","20"
"4830","2021S05004830","Calgary",1590639,638160,604628,1498778,1498778,586269,558912,"12614.175","0","0","1","48","30"
"4840","2021S05004840","Banff--Jasper--Rocky Mountain House",86921,41567,34775,88754,88754,39905,33431,"74007.8998","0","0","1","48","40"
"4850","2021S05004850","Red Deer",213470,92439,83983,209395,209395,88994,80649,"9890.0547","0","0","0","48","50"
"4860","2021S05004860","Edmonton",1462041,609810,565756,1366050,1366050,557547,518951,"15746.4155","0","0","0","48","60"
"4870","2021S05004870","Athabasca--Grande Prairie--Peace River",264601,117071,99092,267474,267474,114611,97456,"268301.4042","0","0","0","48","70"
"4880","2021S05004880","Wood Buffalo--Cold Lake",142026,61790,52146,141108,141108,61816,50838,"125889.1713","0","1","1","48","80"
"5910","2021S05005910","Vancouver Island and Coast",864864,412133,381864,799400,799400,383244,352716,"84052.4944","0","1","1","59","10"
"5920","2021S05005920","Lower Mainland--Southwest",3049496,1273832,1196483,2832000,2832000,1185037,1099698,"36262.048","0","0","1","59","20"
"5930","2021S05005930","Thompson--Okanagan",604651,287481,258617,546287,546287,263193,232889,"94039.3792","0","0","1","59","30"
"5940","2021S05005940","Kootenay",161557,86517,71460,151403,151403,83244,67218,"57672.9551","0","0","0","59","40"
"5950","2021S05005950","Cariboo",159910,75772,67838,156494,156494,73346,65299,"130954.5139","0","0","1","59","50"
"5960","2021S05005960","North Coast",55971,26468,22967,55500,55500,25833,22235,"124017.5527","0","0","1","59","60"
"5970","2021S05005970","Nechako",38420,18285,15785,38636,38636,18181,15468,"191611.9827","0","0","1","59","70"
"5980","2021S05005980","Northeast",66010,31206,26820,68335,68335,31339,26446,"202075.6285","0","0","0","59","80"
"6010","2021S05006010","Yukon",40232,19610,17181,35874,35874,17987,15215,"472345.4354","0","0","0","60","10"
"6110","2021S05006110","Northwest Territories",41070,17603,15207,41786,41786,17666,14981,"1127711.9175","0","0","0","61","10"
"6210","2021S05006210","Nunavut",36858,11720,9926,35944,35944,11433,9819,"1836993.7767","0","0","0","62","10"
